iter	Passed	Remaining
0	1	188
1	3	192
2	6	212
3	7	190
4	9	180
5	10	165
6	12	161
7	13	157
8	15	160
9	17	153
10	18	150
11	20	150
12	21	143
13	23	144
14	25	142
15	27	143
16	29	143
17	31	142
18	32	140
19	35	140
20	37	139
21	38	136
22	40	134
23	41	130
24	43	131
25	45	128
26	46	125
27	48	125
28	50	122
29	51	120
30	52	117
31	54	116
32	56	115
33	59	114
34	60	112
35	62	111
36	64	109
37	66	108
38	68	107
39	70	105
40	71	103
41	73	101
42	75	99
43	76	97
44	78	95
45	79	93
46	80	91
47	82	89
48	84	87
49	85	85
50	87	84
51	89	83
52	92	81
53	94	80
54	95	78
55	97	76
56	99	75
57	100	73
58	103	71
59	104	69
60	106	67
61	107	65
62	109	64
63	111	62
64	113	60
65	114	59
66	116	57
67	118	55
68	119	53
69	121	51
70	122	50
71	124	48
72	126	46
73	128	45
74	130	43
75	132	41
76	134	40
77	137	38
78	138	36
79	140	35
80	142	33
81	144	31
82	145	29
83	147	28
84	148	26
85	150	24
86	151	22
87	153	20
88	155	19
89	156	17
90	158	15
91	160	13
92	161	12
93	162	10
94	164	8
95	165	6
96	166	5
97	168	3
98	169	1
99	171	0
